id,name,start,end
ENSG00000239884,RN7SL608P,2680958,2681236
ENSG00000272770,AC005696.2,2683305,2685088
ENSG00000272911,AC005696.3,2688473,2688960
ENSG00000132361,CLUH,2689386,2712663
ENSG00000273606,MIR6776,2692861,2692919
ENSG00000262050,AC005696.1,2712309,2712833
ENSG00000277200,AC005696.4,2720801,2723947
ENSG00000261963,CCDC92B,2724411,2749504
ENSG00000272920,hsa-mir-1253,2748078,2748182
ENSG00000221200,MIR1253,2748078,2748182
ENSG00000132359,RAP1GAP2,2755705,3037739
ENSG00000262884,AC015921.1,2962248,2965895
ENSG00000262628,OR1D5,3062669,3063607
ENSG00000184166,OR1D2,3088484,3104422
ENSG00000142163,OR1E3,3116427,3117374
ENSG00000183024,OR1G1,3126584,3127581
ENSG00000261848,AC090282.1,3134969,3177031
ENSG00000262085,OR1P1,3153889,3154882
ENSG00000172150,OR1A2,3197519,3198448
ENSG00000172146,OR1A1,3207539,3218896
ENSG00000255095,OR1D4,3235703,3241614
ENSG00000262106,OR1D3P,3265611,3266541
ENSG00000221882,OR3A2,3276942,3386317
ENSG00000180090,OR3A1,3291017,3298360
ENSG00000180068,OR3A4P,3309986,3311934
ENSG00000267129,OR1AC1P,3377527,3377602
ENSG00000180042,AC087498.1,3385930,3386874
ENSG00000180016,OR1E1,3397104,3398410
ENSG00000159961,OR3A3,3411370,3424070
ENSG00000127780,OR1E2,3432870,3433841
ENSG00000280268,AC025125.1,3439923,3441844
ENSG00000141255,SPATA22,3440019,3513852
ENSG00000108381,ASPA,3472374,3503419
ENSG00000167723,TRPV3,3510502,3557995
ENSG00000196689,TRPV1,3565444,3609411
ENSG00000263338,AC027796.5,3577955,3578853
ENSG00000262304,AC027796.3,3585149,3636249
ENSG00000261916,AC027796.1,3601761,3602272
ENSG00000197417,SHPK,3608262,3636322
ENSG00000262248,AC027796.2,3619256,3619913
ENSG00000040531,CTNS,3636468,3661542
ENSG00000262903,AC027796.4,3655621,3658092
ENSG00000213977,TAX1BP3,3662896,3668682
ENSG00000257950,P2RX5-TAX1BP3,3663063,3696194
ENSG00000240898,AC132942.1,3665220,3665702
ENSG00000127774,EMC6,3668815,3669668
ENSG00000083454,P2RX5,3672199,3696404
ENSG00000083457,ITGAE,3714628,3801243
ENSG00000262692,AC116914.2,3721628,3722488
ENSG00000177602,HASPIN,3723903,3726699
ENSG00000262358,AC116914.1,3729361,3730493
ENSG00000074356,NCBP3,3802165,3846251
ENSG00000004660,CAMKK1,3860315,3894891
ENSG00000108405,P2RX1,3896592,3916500
ENSG00000074370,ATP2A3,3923870,3964464
ENSG00000263312,LINC01975,3977103,3981899
ENSG00000074755,ZZEF1,4004445,4143020
ENSG00000252456,RNA5SP434,4056756,4056876
ENSG00000167740,CYB5D2,4143168,4187310
ENSG00000185722,ANKFY1,4163907,4263977
ENSG00000263165,AC087292.1,4163910,4164713
ENSG00000251812,Y_RNA,4186326,4186424
ENSG00000263219,RYKP1,4222091,4223828
ENSG00000274363,AC087742.2,4267691,4268430
ENSG00000132388,UBE2G1,4269259,4366628
ENSG00000261868,MFSD1P1,4301372,4302698
ENSG00000263882,RN7SL774P,4364164,4364453
ENSG00000182557,SPNS3,4433688,4488208
ENSG00000262823,AC127521.1,4481966,4486353
ENSG00000229782,AC118754.1,4497394,4499674
ENSG00000183018,SPNS2,4498838,4539035
ENSG00000132382,MYBBP1A,4538897,4555631
ENSG00000167741,GGT6,4556927,4560818
ENSG00000262921,AC118754.2,4565752,4571760
ENSG00000262519,TXNP4,4572206,4572515
ENSG00000188176,SMTNL2,4583999,4608319
ENSG00000261863,LINC01996,4610449,4617650
ENSG00000222429,RNU6-955P,4619749,4619852
ENSG00000161905,ALOX15,4630902,4642294
ENSG00000141456,PELP1,4669774,4704337
ENSG00000235085,AC091153.2,4673830,4696831
ENSG00000244184,AC091153.3,4704230,4705529
ENSG00000213939,AC091153.1,4704816,4705217
ENSG00000141480,ARRB2,4710489,4721499
ENSG00000161920,MED11,4731428,4733610
ENSG00000261898,AC091153.4,4731756,4732371
ENSG00000161921,CXCL16,4733526,4739922
ENSG00000141497,ZMYND15,4740015,4746119
ENSG00000142484,TM4SF5,4771884,4783213
ENSG00000182853,VMO1,4785285,4786433
ENSG00000280254,AC233723.2,4787057,4789162
ENSG00000182327,GLTPD2,4788959,4790390
ENSG00000142507,PSMB6,4796144,4798503
ENSG00000262165,AC233723.1,4801159,4807013
ENSG00000129219,PLD2,4807096,4823434
ENSG00000141503,MINK1,4833388,4898061
ENSG00000230201,ATP6V0CP1,4856757,4857374
ENSG00000264113,RN7SL784P,4882975,4883316
ENSG00000108556,CHRNE,4897774,4903074
ENSG00000205710,C17orf107,4899418,4902932
ENSG00000185245,GP1BA,4932297,4935030
ENSG00000108528,SLC25A11,4937130,4940251
ENSG00000108523,RNF167,4940008,4945222
ENSG00000108518,PFN1,4945652,4949061
ENSG00000108515,ENO3,4948092,4957131
ENSG00000091640,SPAG7,4959226,4967872
ENSG00000108509,CAMTA2,4967992,4987652
ENSG00000262429,AC004771.4,4967995,4968822
ENSG00000274300,MIR6864,4969702,4969771
ENSG00000278517,MIR6865,4970086,4970150
ENSG00000234203,AC004771.2,4972851,4974681
ENSG00000262678,AC004771.5,4986466,4987324
ENSG00000262227,AC004771.3,4987706,4988446
ENSG00000196388,INCA1,4988130,4997610
ENSG00000129250,KIF1C,4997948,5028401
ENSG00000227495,AC004771.1,5019214,5020093
ENSG00000132517,SLC52A1,5032600,5052009
ENSG00000262495,AC012146.2,5060356,5062123
ENSG00000262693,AC012146.3,5075678,5078113
ENSG00000180787,ZFP3,5078248,5096374
ENSG00000167840,ZNF232,5105541,5123116
ENSG00000234327,AC012146.1,5111468,5115004
ENSG00000129204,USP6,5116438,5175034
ENSG00000262855,AC012146.4,5126740,5127010
ENSG00000180626,ZNF594,5179536,5191883
ENSG00000261879,AC087500.1,5192084,5248069
ENSG00000161929,SCIMP,5208961,5234860
ENSG00000263164,AC087500.2,5240508,5241543
ENSG00000029725,RABEP1,5282265,5385812
ENSG00000108559,NUP88,5360963,5420160
ENSG00000263220,AC015727.1,5364315,5371626
ENSG00000129197,RPAIN,5419641,5432876
ENSG00000263272,AC004148.2,5425139,5432876
ENSG00000108561,C1QBP,5432777,5448830
ENSG00000005100,DHX33,5440912,5469060
ENSG00000262099,AC004148.1,5469092,5470360
ENSG00000072849,DERL2,5471251,5486811
ENSG00000167842,MIS12,5486285,5490814
ENSG00000091592,NLRP1,5499427,5619424
ENSG00000282980,AC055839.1,5512040,5512537
ENSG00000262961,AC006236.1,5730289,5731085
ENSG00000179314,WSCD1,5772234,6124427
ENSG00000262231,AC104770.1,6189361,6190541
ENSG00000206618,RNU6-1264P,6207163,6207269
ENSG00000262609,BTF3P14,6322413,6323228
ENSG00000129221,AIPL1,6393693,6435199
ENSG00000262818,AC055872.1,6417685,6418264
ENSG00000129195,PIMREG,6444415,6451469
ENSG00000091622,PITPNM3,6451264,6556494
ENSG00000274860,Metazoa_SRP,6521131,6521412
ENSG00000198920,KIAA0753,6578148,6640927
ENSG00000200914,RNA5SP435,6600944,6601051
ENSG00000282936,AC004706.4,6636780,6640316
ENSG00000129235,TXNDC17,6640758,6644541
ENSG00000108590,MED31,6643315,6651634
ENSG00000256806,C17orf100,6651718,6693202
ENSG00000261996,AC004706.1,6653464,6655009
ENSG00000264468,MIR4520-1,6655440,6655509
ENSG00000283301,MIR4520-2,6655449,6655502
ENSG00000274114,AC004706.3,6657034,6693577
ENSG00000141485,SLC13A5,6684713,6713567
ENSG00000262990,AC004706.2,6749685,6749978
ENSG00000244283,RPL23AP73,6749718,6750188
ENSG00000132530,XAF1,6755447,6775647
ENSG00000279296,PRAL,6772831,6776116
ENSG00000177294,FBXO39,6776223,6797101
ENSG00000167858,TEKT1,6789133,6831761
ENSG00000262943,ALOX12P2,6853861,6954107
ENSG00000215067,ALOX12-AS1,6876635,7012349
ENSG00000262503,AC027763.1,6927472,6928191
ENSG00000263316,AC027763.2,6954098,6978960
ENSG00000267047,AC040977.2,6985494,7019414
ENSG00000262089,AC040977.1,6994642,6995189
ENSG00000108839,ALOX12,6996065,7010736
ENSG00000219200,RNASEK,7012417,7014532
ENSG00000161939,RNASEK-C17orf49,7012635,7017520
ENSG00000258315,C17orf49,7014495,7017525
ENSG00000267532,MIR497HG,7015818,7019659
ENSG00000284112,MIR195,7017615,7017701
ENSG00000284027,MIR497,7017911,7018022
ENSG00000161940,BCL6B,7023020,7030290
ENSG00000174327,SLC16A13,7036075,7040121
ENSG00000174326,SLC16A11,7041630,7043923
ENSG00000262067,AC120057.2,7058934,7059204
ENSG00000132514,CLEC10A,7074537,7080307
ENSG00000161944,ASGR2,7101322,7115700
ENSG00000213876,RPL7AP64,7140930,7141592
ENSG00000141505,ASGR1,7173431,7179564
ENSG00000132535,DLG4,7189890,7219702
ENSG00000279812,AC120057.5,7192295,7192448
ENSG00000072778,ACADVL,7217125,7225273
ENSG00000199053,MIR324,7223297,7223379
ENSG00000004975,DVL2,7225341,7234545
ENSG00000040633,PHF23,7235028,7239722
ENSG00000170296,GABARAP,7240014,7242770
ENSG00000262526,AC120057.3,7240427,7244635
ENSG00000279641,AC120057.4,7242200,7243814
ENSG00000175826,CTDNEP1,7243591,7252491
ENSG00000262302,AC003688.1,7246829,7262089
ENSG00000170291,ELP5,7251416,7259940
ENSG00000181885,CLDN7,7259903,7263983
ENSG00000202251,Y_RNA,7266055,7266166
ENSG00000181856,SLC2A4,7281667,7288257
ENSG00000263342,AC003688.2,7282947,7284071
ENSG00000006047,YBX2,7288252,7294615
ENSG00000132507,EIF5A,7306999,7312463
ENSG00000132522,GPS2,7311324,7315564
ENSG00000261915,AC026954.2,7312661,7319174
ENSG00000215041,NEURL4,7315628,7329393
ENSG00000224647,AC026954.1,7330452,7335413
ENSG00000072818,ACAP1,7336529,7351478
ENSG00000213859,KCTD11,7351889,7354944
ENSG00000263171,AC026954.3,7352687,7354944
ENSG00000182896,TMEM95,7355123,7357219
ENSG00000174292,TNK1,7380534,7389774
ENSG00000187838,PLSCR3,7389727,7394843
ENSG00000262481,TMEM256-PLSCR3,7389734,7404097
ENSG00000205544,TMEM256,7402975,7404137
ENSG00000169992,NLGN2,7404874,7419860
ENSG00000262880,AC113189.2,7420103,7444081
ENSG00000181323,SPEM1,7420360,7421632
ENSG00000184560,SPEM2,7425615,7427568
ENSG00000283439,SPEM3,7428903,7432762
ENSG00000181284,TMEM102,7435443,7437679
ENSG00000262624,AC113189.1,7436557,7437523
ENSG00000161958,FGF11,7438273,7444937
ENSG00000263301,AC113189.3,7439159,7443327
ENSG00000272884,AC113189.4,7439506,7445966
ENSG00000170175,CHRNB1,7445061,7457707
ENSG00000174282,ZBTB4,7459366,7484263
ENSG00000259224,SLC35G6,7481332,7483496
ENSG00000181222,POLR2A,7484366,7514616
ENSG00000201489,Y_RNA,7537096,7537196
ENSG00000239697,TNFSF12,7548891,7557890
ENSG00000248871,TNFSF12-TNFSF13,7549099,7561601
ENSG00000276384,AC016876.3,7557820,7558245
ENSG00000161955,TNFSF13,7558292,7561608
ENSG00000161956,SENP3,7561875,7571969
ENSG00000277957,SENP3-EIF4A1,7563287,7578715
ENSG00000161960,EIF4A1,7572706,7579005
ENSG00000264772,AC016876.2,7572826,7582024
ENSG00000209582,SNORA48,7574713,7574847
ENSG00000238917,SNORD10,7576811,7576952
ENSG00000277985,SNORA67,7577955,7578091
ENSG00000129226,CD68,7579467,7582113
ENSG00000233223,AC016876.1,7581964,7584072
ENSG00000129255,MPDU1,7583529,7592789
ENSG00000129194,SOX15,7588178,7590170
ENSG00000129245,FXR2,7591230,7614871
ENSG00000129214,SHBG,7613946,7633383
ENSG00000141504,SAT2,7626234,7627876
ENSG00000129244,ATP1B2,7646627,7657768
ENSG00000141510,TP53,7661779,7687550
ENSG00000262251,AC087388.1,7685260,7686371
ENSG00000141499,WRAP53,7686071,7703502
ENSG00000108947,EFNB3,7705202,7711378
ENSG00000183914,DNAH2,7717354,7833744
ENSG00000240480,RPL29P2,7754320,7754976
ENSG00000132510,KDM6B,7839904,7854796
ENSG00000167874,TMEM88,7855065,7856099
ENSG00000183011,NAA38,7856685,7885238
ENSG00000182224,CYB5D1,7857746,7862282
ENSG00000280046,AC104581.4,7858943,7866083
ENSG00000170004,CHD3,7884806,7912760
ENSG00000252835,SCARNA21,7906122,7906260
ENSG00000179859,LINC02581,7913324,7916276
ENSG00000170049,KCNAB3,7921859,7929803
ENSG00000262730,AC104581.2,7925931,7930622
ENSG00000170043,TRAPPC1,7930345,7932123
ENSG00000170037,CNTROB,7932101,7949918
ENSG00000262492,AC104581.1,7954868,7955622
ENSG00000132518,GUCY2D,8002594,8020339
ENSG00000279174,AC104581.3,8013327,8016378
ENSG00000179593,ALOX15B,8039017,8049134
ENSG00000263427,AC129492.2,8056225,8057621
ENSG00000275011,AC129492.6,8063936,8072533
ENSG00000179477,ALOX12B,8072636,8087703
ENSG00000214999,AC129492.1,8079482,8081565
ENSG00000264005,MIR4314,8088056,8088147
ENSG00000179148,ALOXE3,8095900,8119047
ENSG00000179111,HES7,8120590,8124092
ENSG00000179094,PER1,8140472,8156506
ENSG00000284117,MIR6883,8144994,8145071
ENSG00000263620,AC129492.3,8150816,8162975
ENSG00000220205,VAMP2,8159149,8163546
ENSG00000179029,TMEM107,8173237,8176399
ENSG00000200463,SNORD118,8173454,8173587
ENSG00000266824,AC129492.4,8176812,8182812
ENSG00000283160,MIR4521,8186945,8187004
ENSG00000196544,BORCS6,8188333,8190907
ENSG00000279152,AC129492.7,8188933,8189688
ENSG00000271002,AC129492.5,8199123,8199437
ENSG00000178999,AURKB,8204733,8210600
ENSG00000178977,LINC00324,8220642,8224043
ENSG00000178971,CTC1,8224821,8248044
ENSG00000178921,PFAS,8247618,8270491
ENSG00000269947,AC135178.5,8277763,8278436
ENSG00000125434,SLC25A35,8287763,8295343
ENSG00000108961,RANGRF,8288497,8290092
ENSG00000271029,AC135178.6,8296505,8297216
ENSG00000198844,ARHGEF15,8310241,8322516
ENSG00000226871,AC135178.1,8318088,8318712
ENSG00000212206,SNORA69,8329583,8329719
ENSG00000266279,AC135178.4,8337697,8338758
ENSG00000184650,ODF4,8339864,8346048
ENSG00000265749,AC135178.3,8365563,8381328
ENSG00000184619,KRBA2,8368637,8376711
ENSG00000263809,AC135178.2,8368638,8383187
ENSG00000161970,RPL26,8377520,8383213
ENSG00000189051,RNF222,8390704,8397826
ENSG00000166579,NDEL1,8413131,8490411
ENSG00000133026,MYH10,8474205,8630761
ENSG00000252363,RNU7-43P,8511125,8511188
ENSG00000270606,PPIAP52,8560471,8560962
ENSG00000244604,AC025518.1,8561230,8561576
ENSG00000161973,CCDC42,8729934,8745219
ENSG00000183318,SPDYE4,8753106,8758559
ENSG00000185156,MFSD6L,8797162,8799349
ENSG00000276231,PIK3R6,8802723,8867677
ENSG00000141506,PIK3R5,8878911,8965712
ENSG00000266389,AC002091.2,8965896,8967070
ENSG00000265975,AC002091.1,8967523,8976995
ENSG00000065320,NTN1,9021542,9244000
ENSG00000262966,AC005695.1,9171068,9179118
ENSG00000273816,AC005695.3,9244666,9244897
ENSG00000170310,STX8,9250471,9576591
ENSG00000263708,AC005695.2,9283174,9305651
ENSG00000225751,AC087501.1,9452197,9470014
ENSG00000262815,AC087501.3,9464742,9467422
ENSG00000263051,AC087501.4,9547298,9548541
ENSG00000271851,AC087501.5,9553323,9555696
ENSG00000166596,CFAP52,9576627,9643459
ENSG00000241654,RPL19P18,9589902,9590482
ENSG00000265349,AC118755.2,9638768,9645325
ENSG00000154914,USP43,9644698,9729691
ENSG00000262296,AC118755.1,9647020,9647660
ENSG00000282882,AC027045.2,9764188,9805073
ENSG00000184544,DHRS7C,9771434,9791297
ENSG00000278944,AC027045.1,9791227,9808855
ENSG00000214978,GSG1L2,9802386,9822071
ENSG00000283025,AC027045.3,9805443,9811047
ENSG00000065325,GLP2R,9822206,9892102
ENSG00000265593,NPM1P45,9852748,9853306
ENSG00000109047,RCVRN,9896320,9905621
ENSG00000007237,GAS7,9910609,10198551
ENSG00000242692,RPS27AP1,10258762,10259232
ENSG00000273388,AC005291.2,10291820,10317926
ENSG00000006788,MYH13,10300865,10373130
ENSG00000264067,AC005291.1,10320392,10341458
ENSG00000272736,AC005323.2,10383132,10537862
ENSG00000272975,MYHAS,10383144,10623886
ENSG00000133020,MYH8,10390322,10421950
ENSG00000264424,MYH4,10443290,10469559
ENSG00000109061,MYH1,10492307,10518543
ENSG00000125414,MYH2,10521148,10549957
ENSG00000214970,AC005323.1,10579040,10623036
ENSG00000109063,MYH3,10628526,10657309
ENSG00000261433,AC002347.1,10658542,10659082
ENSG00000133028,SCO1,10672474,10698375
ENSG00000263388,AC002347.2,10680734,10683988
ENSG00000170222,ADPRM,10697594,10711233
ENSG00000187824,TMEM220,10699015,10730316
ENSG00000264176,MAGOH2P,10716002,10716511
ENSG00000263400,TMEM220-AS1,10729777,10815164
ENSG00000264016,AC015908.3,10741267,10769016
ENSG00000240813,AC015908.1,10745553,10746543
ENSG00000266114,AC015908.4,10792059,10794985
ENSG00000263429,TMEM238L,10794913,10804099
ENSG00000279542,AC015908.5,10821901,10822243
ENSG00000233670,PIRT,10822475,10838445
ENSG00000263508,AC015908.2,10849541,10880895
ENSG00000207242,RNU6-1065P,10857899,10858004
ENSG00000244753,RPL15P21,10860535,10861462
ENSG00000243346,RN7SL601P,11157455,11157747
ENSG00000188803,SHISA6,11241263,11564063
ENSG00000264727,AC005725.1,11288205,11290811
ENSG00000007174,DNAH9,11598431,11969748
ENSG00000263684,AC005209.1,11874932,11875828
ENSG00000266368,AC005410.2,11953889,11977594
ENSG00000154957,ZNF18,11977439,11997510
ENSG00000241185,RPL21P122,11998353,12021508
ENSG00000065559,MAP2K4,12020824,12143830
ENSG00000252707,RNU11-2P,12036496,12036637
ENSG00000266297,MIR744,12081899,12081996
ENSG00000263648,AC005244.1,12115547,12115885
ENSG00000265400,AC005244.2,12201600,12215267
ENSG00000179136,LINC00670,12549782,12642854
ENSG00000141052,MYOCD,12665890,12768949
ENSG00000227274,AC005358.1,12671862,12706135
ENSG00000265489,AC005358.2,12760140,12790242
ENSG00000006740,ARHGAP44,12789539,12991643
ENSG00000265503,MIR1269B,12917268,12917342
ENSG00000280168,AC005274.1,12973033,12973834
ENSG00000277621,AC005277.2,12982613,12983002
ENSG00000263707,AC005277.1,12990149,12990610
ENSG00000006744,ELAC2,12992391,13018187
ENSG00000273098,AC005303.1,13095908,13100928
ENSG00000234634,LINC02093,13299184,13306760
ENSG00000153976,HS3ST3A1,13495689,13601927
ENSG00000221698,MIR548H3,13543529,13543646
ENSG00000236088,COX10-AS1,13756478,14069495
ENSG00000265494,AC005304.2,13909231,13911212
ENSG00000233852,AC005304.1,13932720,13940594
ENSG00000266744,AC005304.3,13957748,13966952
ENSG00000141028,CDRT15P1,14024514,14025488
ENSG00000006695,COX10,14069496,14208677
ENSG00000252305,SNORA74,14177131,14177310
ENSG00000231595,AC005224.1,14210488,14217922
ENSG00000223510,CDRT15,14235673,14236862
ENSG00000262786,AC005224.2,14295512,14297600
ENSG00000125430,HS3ST3B1,14301083,14349404
ENSG00000266709,AC005224.4,14303854,14305505
ENSG00000266378,AC005224.3,14327335,14329474
ENSG00000230647,AC022816.1,14374139,14421026
ENSG00000230897,RPS18P12,14705076,14705534
ENSG00000226130,AC013248.1,14725729,14729686
ENSG00000205325,AC005863.1,14767583,14780203
ENSG00000238212,LINC02096,14834638,14900554
ENSG00000226156,RPL23AP76,14947741,14948198
ENSG00000232058,AC005772.1,15014805,15052276
ENSG00000259944,CDRT7,15030975,15031957
ENSG00000265163,CDRT8,15105237,15106187
ENSG00000109099,PMP22,15229777,15265326
ENSG00000265110,MIR4731,15251627,15251696
ENSG00000279660,AC005703.6,15260513,15261841
ENSG00000265445,AC005703.3,15261015,15265707
ENSG00000230971,AC005703.1,15267461,15272290
ENSG00000237377,AC005703.2,15276562,15279477
ENSG00000125409,TEKT3,15303811,15341641
ENSG00000200437,RNU6-799P,15311345,15311451
ENSG00000279567,AC005703.5,15365323,15365877
ENSG00000266667,AC005703.4,15379864,15417878
ENSG00000239888,RN7SL792P,15408384,15408688
ENSG00000239704,CDRT4,15436015,15503608
ENSG00000259024,TVP23C-CDRT4,15436021,15563561
ENSG00000234324,RPL9P2,15443639,15444191
ENSG00000175106,TVP23C,15502264,15563595
ENSG00000223878,PPIAP53,15506866,15507354
ENSG00000266538,AC005838.2,15530773,15531089
ENSG00000241322,CDRT1,15565483,15619512
ENSG00000251537,AC005324.3,15571491,15651653
ENSG00000252129,SNORA74,15574019,15574198
ENSG00000223544,AC005838.1,15588852,15589084
ENSG00000221926,TRIM16,15627960,15684311
ENSG00000266261,AC005324.5,15651590,15654489
ENSG00000108452,ZNF29P,15675476,15675643
ENSG00000187607,ZNF286A,15699577,15720787
ENSG00000255104,AC005324.4,15699692,15744778
ENSG00000233966,UBE2SP1,15704232,15704900
ENSG00000214946,TBC1D26,15732247,15749192
ENSG00000233002,AC005324.1,15735023,15749192
ENSG00000267227,AC005324.6,15748703,15749315
ENSG00000233193,AC005324.2,15761614,15763769
ENSG00000227255,CDRT15P2,15764703,15765664
ENSG00000235430,ZSWIM5P1,15768717,15771426
ENSG00000251829,RNA5SP436,15782341,15782455
ENSG00000227018,IL6STP1,15783288,15784307
ENSG00000179277,MEIS3P1,15786618,15787575
ENSG00000265519,AC015922.3,15787787,15788205
ENSG00000276855,AC015922.4,15789016,15789705
ENSG00000233090,AC015922.2,15792862,15793045
ENSG00000237057,LINC02087,15806241,15817742
ENSG00000227790,AC015922.1,15829369,15908632
ENSG00000170425,ADORA2B,15944917,15975746
ENSG00000214941,ZSWIM7,15976560,15999717
ENSG00000011295,TTC19,15999380,16045015
ENSG00000275413,AC002553.4,16023323,16023653
ENSG00000141027,NCOR1,16029157,16218185
ENSG00000227782,AC002553.1,16040472,16041273
ENSG00000243686,RPLP1P11,16044621,16044961
ENSG00000233979,AC002553.2,16084042,16084381
ENSG00000252383,RNU6-314P,16098704,16098807
ENSG00000199674,RNU6-862P,16137768,16137872
ENSG00000239221,RN7SL442P,16191832,16192151
ENSG00000108474,PIGL,16217191,16351797
ENSG00000221355,MIR1288,16282014,16282088
ENSG00000166582,CENPV,16342534,16353656
ENSG00000170315,UBB,16380798,16382745
ENSG00000265401,AC093484.4,16382152,16382669
ENSG00000265095,FTLP12,16391434,16391882
ENSG00000264739,AC093484.2,16414524,16416689
ENSG00000187688,TRPV2,16415542,16437003
ENSG00000239203,AC093484.1,16427474,16428719
ENSG00000175061,LRRC75A-AS1,16438822,16478678
ENSG00000277108,SNORD49B,16439505,16439576
ENSG00000277370,SNORD49A,16440036,16440106
ENSG00000266651,AC093484.5,16440479,16440952
